2010,2020,2030,2040
48473366.3462,48473366.3462,48473366.3462,48473366.3462
65848151.85519993,65848151.85520003,65848151.85520003,65848151.85520003
35234312.97760005,35234312.97759999,35234312.97759999,35234312.97759999
38374658.04440001,38374658.04439999,38374658.04439999,38374658.04439999
35261343.96900004,35261343.969000004,35261343.969000004,35261343.969000004
27933623.25060003,27933623.25059999,27933623.25059999,27933623.25059999
3291357.886979998,3291357.8869799995,3291357.8869799995,3291357.8869799995
306.213158183,306.213158183,306.213158183,306.213158183
2449.70526546,2449.70526546,2449.70526546,2449.70526546
0.0,0.0,0.0,0.0
1253465.1041499986,1253465.1041500005,1253465.1041500005,1253465.1041500005
672840.9414650003,672840.9414649998,672840.9414649998,672840.9414649998
0.0,0.0,0.0,0.0
353808919.3590022,353808919.3590019,353808919.3590019,353808919.3590019
266933.9287615725,182330.07581781907,169480.06150475232,65486.47097219999
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
233815.57531757886,159708.47832178095,148452.7585885143,57361.59864319999
284344.7648767429,193336.23434770468,179861.13836872848,67541.99990969997
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
274816.3256341773,187574.49686844286,177829.68521639047,66025.49625679998
118276.48113260805,103763.2111893952,102364.35131809996,83475.3736999
2413.757931210001,2413.75793121,2413.75793121,2413.75793121
0.0,0.0,0.0,0.0
401822.58548707346,223961.21380000433,306132.26231665193,506993.3969228333
228111.4876344382,127439.99748995142,174736.62790590382,288367.5250270571
48577073.54573441,32364167.614271425,36531983.90100475,37452773.89602857
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
3099519.3242389113,1905945.146031811,1581511.992757695,3128683.355421338
1844008.7327816838,1193058.7687590474,898609.8024942523,1810282.8501070312
3601628.640772891,2330224.6650452856,1755121.190050333,3535756.8784466092
3544149.2846302325,2005612.7741913,1464658.1282600241,3368495.7085852483
37592802.14771802,32607377.900795244,33413727.700757153,40124614.8062
7392273.58016705,6502787.327896191,6655478.525508095,7843931.616418572
16466675.539650813,14369007.190719524,14691517.958680956,17529162.444518574
6368733.537311639,5641811.479221905,5762477.876801427,6733192.710360476
15644728.499694096,24734866.333110005,18317155.417889528,13396219.628862854
20001333.74329998,20001333.7433,20001333.7433,20001333.7433
169290992.8603,178937887.74245715,208776082.0381952,166420069.1754238
92755604.33990164,149355259.72008568,223539067.93761423,132467347.78320478
14892635.818600025,14892635.818600005,14892635.818600005,14892635.818600005
25556636.516000014,25556636.51599999,25556636.51599999,25556636.51599999
34640472.490299955,34640472.490299985,34640472.490299985,34640472.490299985
55106373.58020005,55106373.58019998,55106373.58019998,55106373.58019998
76420893.11047213,208264332.8308476,325852753.01869524,389333873.873919
36957591.55123442,34311465.190733336,44982174.27799523,43480853.27816668
28213464.48920004,28213464.489200003,28213464.489200003,28213464.489200003
18330896.071200006,18330896.071200006,18330896.071200006,18330896.071200006
47183225.81610008,47183225.8161,47183225.8161,47183225.8161
49446624.92539994,49446624.92540001,49446624.92540001,49446624.92540001
918717435.2320132,901422526.9624283,838470947.1158098,640251411.6004285
190712421.57867056,257983793.4998,331393595.19771427,237620450.22640005
281534489.62585187,346733413.74757147,412208671.89423805,287673076.41533333
1316875871.0769017,1211285822.3465714,979723527.341476,889996180.5375239
5474717272.692264,6408681344.780952,5443845180.066668,4427153911.813333
22492219.187299985,22492219.18730001,22492219.18730001,22492219.18730001
92786.28980970007,92786.28980970004,92786.28980970004,92786.28980970004
24308991.07550001,24308991.07550001,24308991.07550001,24308991.07550001
680038.743187,680038.7431869997,680038.7431869997,680038.7431869997
561610164.3660004,561610164.3659998,561610164.3659998,561610164.3659998
1692836.0241000012,1692836.024099999,1692836.024099999,1692836.024099999
1279767.043310001,1279767.0433100006,1279767.0433100006,1279767.0433100006
100380126.10700008,100380126.10700004,100380126.10700004,100380126.10700004
153463331.5620001,153463331.56199995,153463331.56199995,153463331.56199995
1676722711.25,1676722711.25,1676722711.25,1676722711.25
33835985.74250002,33835985.742499985,33835985.742499985,33835985.742499985
8030184.701780007,8030184.701780001,8030184.701780001,8030184.701780001
15112016.37080001,15112016.370799998,15112016.370799998,15112016.370799998
8191370.9555399995,8191370.955539999,8191370.955539999,8191370.955539999
61780603.39020003,61780603.39019999,61780603.39019999,61780603.39019999
41377740.55889993,41377740.5589,41377740.5589,41377740.5589
11619365.263499985,11619365.263500005,11619365.263500005,11619365.263500005
152297991.3389999,152297991.33899993,152297991.33899993,152297991.33899993
146261186.7150001,146261186.715,146261186.715,146261186.715
79374666.9218,79374666.92179997,79374666.92179997,79374666.92179997
22163366.6418,22163366.641799994,22163366.641799994,22163366.641799994
2229739.02425,2229739.02425,2229739.02425,2229739.02425
19725749.063699987,19725749.063700005,19725749.063700005,19725749.063700005
7975984.521910007,7975984.5219100015,7975984.5219100015,7975984.5219100015
4895129.543500003,4895129.543500002,4895129.543500002,4895129.543500002
12603203.70599998,12603203.705999998,12603203.705999998,12603203.705999998
2316944074.608016,1868450320.7085238,1434927796.727143,1743307813.3557615
7686303.9610900115,7686303.961089999,7686303.961089999,7686303.961089999
377633737.7530902,311825188.3557524,197202937.85662857,264399908.5873096
16411523.50510001,16411523.505100004,16411523.505100004,16411523.505100004
274521705.10347366,226705093.08940476,143256922.98024285,192154656.2566096
57470403.96979182,66278981.50295715,68046227.78295715,67709438.24716666
4054191195.7280154,3331637098.434762,2479484749.6714764,3167578745.998143
37689091.46535738,43842842.43030953,44210570.931357145,44153646.20588095
817137179.467377,779551678.6151432,756722706.3901904,805555580.4532857
1968345966.011148,1768847653.344762,1607424805.9690475,2010175564.39
2152350440.979836,2081577906.9104762,2034729408.8376195,2095422711.07
69765723.69409993,69765723.69409998,69765723.69409998,69765723.69409998
84669106.9677,84669106.9677,84669106.9677,84669106.9677
44986000.4038,44986000.4038,44986000.4038,44986000.4038
2947770503.0299997,2947770503.0299997,2947770503.0299997,2947770503.0299997
175946493.79899985,175946493.79899994,175946493.79899994,175946493.79899994
2419889311.690001,2419889311.69,2419889311.69,2419889311.69
39728304.73279671,19004525.822100006,17121385.61187619,25039002.95731429
2540345718.3599987,2540345718.36,2540345718.36,2540345718.36
878080883.4879994,878080883.4880004,878080883.4880004,878080883.4880004
106829701.37899996,106829701.37899996,106829701.37899996,106829701.37899996
939761113.4349992,939761113.4349996,939761113.4349996,939761113.4349996
43242109253.625336,42896360895.721664,41473745913.05774,42970058865.93388
373669131.0063278,625345731.7339997,566937506.2447621,798767729.6963809
412885155.0670002,412885155.06700015,412885155.06700015,412885155.06700015
397596688.31499976,397596688.3149998,397596688.3149998,397596688.3149998
121845468.37165572,127920384.5572857,126490657.54619049,131823128.05271426
988831151.7850332,1109134761.662524,1051344036.4820954,1110230138.0586667
396558058.4210002,396558058.4209998,396558058.4209998,396558058.4209998
159128583.09199992,159128583.092,159128583.092,159128583.092
1229241616.059999,1229241616.0600002,1229241616.0600002,1229241616.0600002
280859883.60599345,358891159.72738093,326215876.9495238,404006776.7343333
91836467.07610004,91836467.07610004,91836467.07610004,91836467.07610004
42902614.34019996,42902614.34019999,42902614.34019999,42902614.34019999
12454671103.260328,21908006612.314285,21982854208.001904,28160534582.85905
200988578.810295,183127706.105,187932657.86247617,195840784.73700002
130151429.80599996,130151429.80600004,130151429.80600004,130151429.80600004
225302294.20999968,225302294.21,225302294.21,225302294.21
824918902.5592785,895314404.9748095,1229573905.1710956,1556168215.6304286
36870350.07399994,36870350.074,36870350.074,36870350.074
366167043.9169999,366167043.9169999,366167043.9169999,366167043.9169999
