2010,2020,2030,2040
61861676.11275245,77931512.18029997,52255328.50619047,72790310.7562
82722175.17448857,64408035.63411429,83955016.34661905,107622879.18191428
45006671.36560493,57455855.13515714,37744975.76189999,52773354.35194285
47850681.05486886,53029129.51014285,42893422.29086667,54830908.04765714
45784334.20627374,40123034.14047144,47207403.25956668,56887569.43138094
36436581.07353115,26590691.72899048,40635634.23072857,47983460.46024285
3828401.644859263,2454652.7028180948,3411031.9670771426,4341368.8559904285
535.4935285334176,217.94122394991902,522.8134435866049,663.593276407438
4283.9482282665285,1743.529791599809,4182.50754868681,5308.74621125357
0.0,0.0,0.0,0.0
2180586.3329505576,2910414.633932334,2144322.9237912856,4300406.432706095
1170505.4702762556,1562266.1658977147,1151039.8255771429,2308392.553794715
0.0,0.0,0.0,0.0
341308144.6651002,329272980.7380766,265574831.0100723,364269624.7214873
276786.2622144901,331385.8380870904,110446.73727939524,182924.06216122388
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
242445.5348926131,290270.9698383189,96743.66813803332,160228.76908918095
294537.9441955049,347513.67438479525,117768.54403481427,197780.59400377143
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
339077.0746191375,362215.12619787245,119524.72445911526,248395.49038057
284548.17595330486,351374.18121007713,62376.18638527236,174801.96809324285
7473.3159414427855,9637.421272291094,1401.1393589801905,4312.653181842906
0.0,0.0,0.0,0.0
405836.44962114963,558016.1336413618,593702.5006204047,826562.507790119
228292.82104139004,330960.9819016428,361422.64624431904,489525.7524482714
52847364.58203752,31831078.017330475,23727492.57990667,24401740.94299763
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
2892048.222732623,200299.2268618,375422.00361841905,3226867.9868439664
1660110.4936112068,140631.0157895524,259162.4907649324,1963581.1426138182
3242447.49731459,274673.6960862905,506183.63826566655,3835171.686550515
3673992.597626226,927994.5187544482,340406.7234950767,6127883.507955047
38929106.24708049,18421541.60818381,8894102.318349997,49161752.10019667
7638529.47859918,3558430.872261429,1702673.6856238097,7450537.818986667
17103519.51993328,8609813.459262852,4620887.881641904,21910460.34819
6665488.2910732785,3265690.6110638096,1589299.1429509525,5447574.003302382
20977451.141139016,14050124.564789046,11499036.645221427,20492859.04107524
30160407.613466546,19596699.202697624,18748496.09072333,28577121.22120191
160336232.44238693,83712121.72234283,137217934.44150952,241089732.0311524
84624030.0446295,52380114.43991906,44647599.15204286,99945434.45254286
20998286.694775905,10025710.6791,10187095.242239524,13909124.29571428
36312225.12592295,17209600.35658095,17497617.99438571,24280419.27126191
50120059.08396885,23109547.24842381,23165393.67252857,38232434.17714286
90729806.57841308,39348829.86611429,37696998.25337143,108942641.32773809
95142845.07086064,78600991.22137143,128577762.18945712,185156653.68742853
44631224.0272426,43670505.86702381,55358105.27515714,43390356.22249047
59240281.42383605,77612838.83087619,55752005.09065715,19732737.69801428
38330972.99014754,49942732.57534286,36606577.787276186,12587487.884257145
89119679.11247379,109382426.3147762,83350959.29366668,33960574.98653333
60532088.43243773,54243664.97340001,58224829.82900477,68042976.70585714
968259881.8780164,1020761340.0010953,1059509528.6722856,1566725104.835238
198468517.41329008,182056772.22337145,207505185.14582857,240006238.13687143
300643305.67547715,292595017.0679858,340991203.949162,372549639.29683816
