2010,2020,2030,2040
54964483.15893638,51800499.14522858,45628009.58799049,42656382.141971424
76151094.31961311,80557840.1442095,70706651.71183336,62262133.87682381
39934343.331824735,37417690.66912095,32943745.496216185,30872655.12400001
43863574.08295901,43910650.54624285,40574799.02701429,38588289.196833335
43428835.52367705,47213667.32362856,46160367.58404762,45383438.280223794
35190023.88628032,38010536.76257619,40453525.92380952,38379970.92980952
3749883.3033965486,4302302.420723238,5017478.712734762,4624229.448138563
510.5474132594951,589.4552106315805,662.3112569195142,703.0783337889952
4084.379306078952,4715.64168505427,5298.490055360953,5624.626670309762
0.0,0.0,0.0,0.0
1998105.6038833102,2829973.1502433713,3115300.13545262,2741757.633525381
1072552.59935979,1519086.4048997713,1672245.5767962332,1471733.6615906525
0.0,0.0,0.0,0.0
313168613.2635718,343868742.97482455,307463677.6171563,248117268.95418173
285032.2890664327,392247.10657844756,469409.2317565714,494915.52219073346
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
249668.48148992466,343581.2124617762,411169.87297757616,433511.6112491048
301540.5239150247,415921.25900713325,497426.256681119,522358.73917196674
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
308806.85736241675,464522.2273057525,556155.4998739095,571574.6178036953
224909.79984759114,396823.67508520477,483893.0769576047,523353.4527497857
5739.329686460952,10499.443383495236,12862.451651016665,14112.286276334667
0.0,0.0,0.0,0.0
395298.75643149536,637899.0490446704,643197.6221516189,641440.0825046143
226710.02114637356,363107.36652718286,360746.00192554755,355480.78694156674
49925976.63888773,56992667.97076667,67459712.33530152,72035613.25974438
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
2911888.338516573,3289160.404263333,3720760.787871777,3551730.0407035407
1784344.400090389,2050872.3479704286,2300135.5257730475,2193712.62377559
3485095.1528166137,4005664.645569142,4492513.424700619,4284653.361428808
3239320.713544741,3472274.503909618,4111230.369661905,4705682.371556427
37079589.22026114,36696137.28247619,42622375.66351429,50147572.04049048
7293069.473543275,7530765.969806665,8495774.724755237,9895059.670719048
16256850.276478853,16129359.42738524,18349667.198455244,21633200.706962854
6296908.728429179,6666417.218704286,7289571.325314762,8584068.74844714
18946931.47834442,19880154.17764143,20648225.66347809,30029670.373477146
30435670.294794094,36093527.658718094,39850688.36269952,59699025.37149666
152431151.04741967,231915083.1794524,264723970.58949053,339780508.9412618
82474566.56816722,83325491.45650952,100885444.8513714,131431857.13284284
28096312.60843338,35649738.11233095,40722272.20252239,64982488.07916223
48460893.16205819,61834522.22775334,70743232.39867333,112970110.46217284
66326301.05776292,80944677.14481524,91152365.2009676,143077517.42874336
112193232.56139249,111521816.67494528,115340063.65681,160323711.65778574
102390385.60166012,107930764.56466477,116102544.35167429,140277264.64104667
54239905.87421245,56824858.47757808,62197660.75048286,95059716.09396192
68284907.01799558,121872067.47107622,186908339.03041905,316493661.21405715
44423086.99805164,80502244.63838665,123824842.18868192,209082090.21764764
108640389.07553773,209037497.82014284,322300508.30932856,535648958.0399237
63629999.2100967,74324115.10207142,81788744.2390476,87621650.09840477
925125268.6522981,507454401.18771434,1712059089.8376667,2855906146.1626673
206840829.10316852,249440758.14647612,428981337.3296667,625845994.7498572
292994099.0470997,266250843.79349524,484232747.29861903,728389808.8266668
1360217084.5837052,1274854906.196143,2111880019.3947148,2121877568.958714
5534315846.158854,4050546722.0909524,6897092931.336192,8318951411.736669
49573146.39525378,46619704.9523519,56447788.69191714,107791369.96679524
101724.38559171851,133814.24236370524,140319.20309720002,169437.90009959528
53595161.40006001,114035365.74086191,179236072.7421,291846349.83851427
922212.4776182716,1389092.1898250002,1164003.120779381,1392310.085074095
951534615.5181472,1213306409.9327145,1484204189.4223812,2437133081.640048
2361170.5516882287,3625776.228426143,3116365.4994227625,3770920.4589344286
1510866.848578334,2141119.901650714,1944860.0436059048,2238968.7129102377
161351054.61493936,310988658.70263803,346045013.49466664,556522055.2523143
232944669.44649675,347759178.7229335,305001361.2878476,588161983.2891524
2393173814.269017,4509566551.041429,4370245101.560475,6006726039.82381
50740634.44699706,113677702.20388572,102811611.84768572,163694674.88887143
12408521.374260005,17600486.817118093,23577085.26029333,31453576.44617953
22262834.588845573,21539443.227084763,22761657.38664905,30947296.22156285
12789007.6648041,17000090.913536668,22019414.580859523,29678873.63366572
92646540.17737342,207562359.42436665,187722132.9918905,298887576.7756523
54543429.71776542,84511941.6440981,78533092.55949524,93775967.98154762
19397042.124979906,36715226.9295481,50581074.18797142,75840707.97919524
231837306.47105083,482334199.5589048,506803945.78847617,801378854.4617143
230292987.0650541,461497769.8616191,570414381.2894763,895661815.9971429
138476318.2626656,304905980.96146184,438424161.40048087,686092079.7255715
35737010.181323946,86017631.94520953,94153194.2516381,147528544.1535286
2295369.921840885,2746526.0739616198,3093450.060945238,3556061.245844285
21607632.091564264,24049700.59923905,27507826.78023333,32583454.989404764
9154337.605035001,10515581.613716954,13396660.645936193,16505416.009208575
5644172.653003533,6590654.778079176,8478884.909746667,10574696.769705236
14608349.661047705,18403333.226674285,22469446.02932857,25381655.34403333
2317744064.628574,2157221333.630619,2166156457.7767615,2995489988.1270947
8920065.584793445,11902305.801265715,14483213.0675,16019782.92436476
388459446.8604983,336309878.165862,371700760.9375048,483941037.3427382
19042839.317934267,25188472.25046381,30631480.667490475,33918690.95599524
282424997.129859,244497720.93220952,270299715.21657616,351985107.67099047
54701955.13710165,106229241.1961,122941139.56669047,137931388.33344284
4192355019.6681795,4989761009.073811,5981091921.020953,7938122138.113335
38181931.120731145,65754821.10631429,74934122.85247618,87738189.6148
945221200.9648037,1119096401.780524,1238579527.225809,1374347521.815667
2274193245.514557,2421962773.6172857,2734623274.479,2758162773.377047
2581431662.7117553,4635815192.915239,5268351680.70619,6139786418.18476
94056891.0371295,144503045.74160954,164207841.6675238,194039706.4993096
108751490.44180983,169388086.65494764,194317549.09808096,217841020.0134285
60132798.28271148,64269689.01035237,65128934.59628095,64943431.32282858
3856695445.9427547,7270025707.293334,9155514081.12143,10167506221.38619
251239566.19281816,271189768.09782857,293252301.1399572,331196409.48431903
2867503521.732181,3064118317.768572,3792514220.7371435,5101331457.968571
40796691.13667147,58462701.88481905,64546948.36614762,72486852.90302382
3049975430.246066,3384232231.1214285,3730753505.039524,4119226035.2680955
1083021859.44941,1261447527.3057618,1458132896.828143,1734078248.6369526
134938138.57739443,123544135.61895712,177300694.08349523,289771016.7818857
1099480145.045836,1300707315.629476,1964804850.5308573,2789151887.372
62068969878.18012,165759810237.9462,196453460529.23465,228279502874.08362
438350281.67478365,2282693791.6971426,2529082072.2036185,2132893421.9569995
493163638.4654591,856371685.4249666,1445999440.983333,1903947704.6400008
475338573.16752464,882128168.2501713,1508399827.5942376,1962245301.7561898
259006924.85542783,1551334783.033857,1817637258.5412378,1560031277.8291905
968918452.3644588,1129937260.9458096,1099765621.5232382,1375050769.301
733148655.387046,2735520570.375667,3612756733.1330476,3427088979.259381
299172364.30350494,1253621141.048857,1640346109.6372855,1584925700.2869046
1678874914.0334933,2953705197.8599524,5144657185.99238,6741657718.036191
255825064.33195737,323760571.01221424,457508929.779119,539997953.9455714
143455995.36069196,141908314.68869525,339842729.5038095,433296826.8458287
71665149.57471152,89787611.52068573,163454526.7641429,201924646.7351096
10262970155.487543,40370458336.35048,45024963346.02858,38467985253.25714
328426854.2579345,253009594.4616905,635958723.4175475,720221881.8173572
202387068.63311252,196645395.5145285,375968461.1054381,468011020.63777614
321163393.91878885,269987212.0584333,498511752.0965666,655605734.4651762
921121281.915372,2382266013.2296185,3070947361.494381,3407378117.536666
62502362.58627541,46349058.24460001,107676261.6503286,119524269.69846188
509346233.37008274,389447396.75182086,724211100.1805093,967151021.3648572
84143362.14465082,76718246.33447619,125564205.27412856,130672841.21089049
776981666.5565755,456354029.0911666,1440671604.2856667,2353816575.5503807
107926166.60953246,88702840.56801905,171691893.07924286,184802457.10959527
1117802749.412479,2607641766.117762,3408657891.4630003,3885196420.9033327
208928226.00697207,350783023.99742854,483654127.8495714,551311446.8871428
790393992.0561639,1175171518.2630475,1938063500.641429,2788145446.3180947
570228237.4842082,536295383.09371465,1022604125.7439998,1547238413.872762
5745802614.893116,5298969784.483333,7451681045.420477,9073269703.575235
417870719.9665442,390993656.19828576,492068275.0288571,602293854.9094285
