2010,2020,2030,2040
54168204.10935983,45803657.22984762,45725869.35209666,42653986.67530762
76584002.90229674,72529857.31977144,68470299.96155237,58627284.37222379
39317955.05642082,33056174.355900005,33067535.583698094,30972621.06622761
43879680.694691785,40774706.50892381,41325696.40213334,35692479.74446191
43492622.69709016,51819550.51868571,52603693.34418572,34765630.25729524
36204257.0749836,50083604.13699523,44939435.02887143,30119604.03600477
4030443.6009537294,4910938.056312142,3870200.041360858,2705924.499188295
582.8602095597574,686.0052461504097,486.27465713215236,313.2015735032286
4662.881676475283,5488.041969200524,3890.197257059571,2505.6125880275235
0.0,0.0,0.0,0.0
2178353.4255947373,2365842.5304465243,2438225.2374453805,1588694.889606619
1169306.8796784214,1269948.170294238,1308802.1029333523,852787.175074519
0.0,0.0,0.0,0.0
325019012.59281576,367093660.83780843,325959680.55344236,180340211.0746376
299364.3293358875,215362.73361179527,189130.6370929048,246709.86190102386
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
262222.3529915521,188642.79147624288,165665.2975031762,216100.69789368566
315632.01175557036,227426.0654732381,198807.59052945196,263063.8495745177
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
315475.96901953826,221052.1050832557,179740.70954763386,302776.39054189523
239248.9138973039,145826.21521818574,111318.37196714476,241169.13717603
6196.356920116903,3628.5324022168575,2739.626215771381,6242.773689638334
0.0,0.0,0.0,0.0
390490.0920660128,252720.82561885702,214037.0220802404,380910.83890266187
221075.6512126433,142413.3162110643,123528.2227804376,218846.48504670808
52435397.12057544,48228826.46062952,46856634.26340953,32945246.368136667
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
2869383.901060959,3084556.608545238,2930376.557424143,2882498.208409428
1732612.8200372541,1908751.938095,1838776.617172286,1759264.5285709046
3384055.5335125267,3728081.937010429,3591409.5257020006,3436110.3611682863
3119986.0092552295,3791641.077165464,4114411.1824478437,3305624.365977988
36485602.76443182,35790080.85694762,40724748.076557145,44266968.00197619
7192759.308365903,6961855.374744763,7617848.525550476,8191040.233668097
16010527.582805086,15663529.843282385,17701073.105716664,19387103.235468093
6203085.426051478,5852650.721003809,6199100.163122859,6697177.036936668
18278404.619059347,15116677.13625143,14580103.579124765,17323801.163952854
29328715.11712753,21084059.688090473,19401484.74085905,25311886.0399
155126686.4305836,162210914.14881426,159740474.09421432,155751593.26033336
86344071.9597361,91875253.3016095,92116609.2132714,89648349.26900475
27535138.25851541,18419971.638704285,16169166.816013813,22126108.08937
47301045.45484427,31534070.59543429,27668560.61883858,37891619.9878181
66264044.09760477,47958981.23471333,38817966.27362429,53996913.62463524
124723632.80710788,118723684.37348574,75689182.14277618,109578273.21539716
109921392.12174168,114902063.70923091,74252026.54844715,126075630.53818952
52950139.59646231,78955405.5528333,120997731.01034762,193434030.14908567
60890681.91948754,180967061.5161096,264382264.23999047,277364465.95438576
39776278.52454214,119543477.95339046,174933442.6854381,183735608.1237333
94582582.30294749,276837688.9094714,404434561.7888667,431613248.24411917
63552323.80103608,85611526.64055713,63269744.541838095,60567735.02765239
1054256388.3497477,1132281757.9356096,1572968013.5076573,1633440349.0933335
197205509.38944727,299684843.19192386,218151686.14165717,204532215.5322429
286546224.7608666,308902981.0923048,264032079.96591422,259831823.35392857
1330541900.0594096,1333216348.0902858,1491177420.1351907,1473708588.195476
5494323779.748706,4141334156.9059525,4281523689.555,4492951770.571905
41032359.9249946,68567153.17882378,96575749.47122385,112077483.82357144
103315.65248253148,119828.77622702856,109599.08831732381,141273.34514270956
43707891.43606047,123874463.42180002,184667748.36946663,201253491.42748097
850016.356083357,833270.6318724762,694980.0140494761,926094.6199565713
1005043079.6194619,2106146034.1349523,2727705576.2874765,3506171292.4496665
2183895.7703608363,2136672.9900231427,1740524.596334095,2372455.105171
1421337.1028430022,1384479.2373176191,1228764.1088643812,1550742.7012027618
150696919.1317623,273676530.7255619,306807805.8630761,389518744.9000667
217837235.03238463,243665592.9856857,242243394.57205707,390553929.7461905
2227455872.0467863,3415325615.702857,3661564473.0019045,4711447270.628096
46026320.37411508,66679201.07367142,63717879.78091905,106740193.60985716
12210867.360469015,9502629.012595713,7539800.567644764,14271557.48003619
22813659.821695734,33962848.602619044,30781896.65043809,37023247.69504286
12661788.581823446,12089854.538917618,9685349.16452,15777192.046209047
84038746.97729412,121748522.63086191,116341491.85335235,194895269.71044284
51917277.69566214,53167515.15808094,43165740.94739191,55875830.19016333
18027523.83564421,34264747.949366674,32736408.36558571,43309424.75666666
210104528.64998683,303543805.2720667,316803075.03305227,586176936.1834332
208645686.15831965,321518138.6760476,351885009.0170476,665308789.7516191
125969432.08400822,242619036.47123805,246975642.9059,382245392.8530048
32370568.61009508,59522819.40871428,57358547.46306192,91335136.62251428
2352658.0771197537,2785510.560927619,2618866.131374048,2982298.3833666667
22249400.35775869,27982211.58611905,26426105.03945715,28978627.900780946
9527539.480299478,14551526.76127286,14324873.11231238,15700419.50898762
5913278.472500526,9412831.70429857,9270164.89683238,10010189.153520474
14703819.55717508,20072952.416919045,20430012.252166666,22734120.7254
2261334982.959738,2628844174.615714,1944983989.4107141,1755804295.2954762
8919713.01200246,11832641.956135238,12259641.21707,13812560.480526667
376155006.58062136,427803448.3139524,296321287.22867143,262746782.73571423
19044274.295790166,25277675.429933336,26129493.84263333,29401616.34336191
273470898.27720165,311162247.4962857,215514958.00896665,191108098.25538573
53618179.22935902,88237606.86444762,87853669.10506666,89434818.84274761
4120397617.184968,6237125936.2990465,4874253535.747619,5063956926.114285
35234884.452998355,58616858.49818095,52427193.34509048,53095861.00460476
937533352.7165736,1153440181.790143,1031414230.1515713,1100114393.4523337
2284994307.9808364,2581856400.4927144,1917976817.5200472,1985432517.1184766
2488787625.8317704,3808933740.252857,3157865192.7500005,3599613208.2052383
91701700.48259996,138089687.8012095,112133943.55133809,113856390.84450953
107242456.34437868,162139615.69967616,120879335.8135238,114722798.2855286
59592807.16330066,68346458.4531857,50178686.58616668,47010241.01035714
3923641281.7123775,7444898575.023808,5682099271.614761,5391244811.091428
256700048.47350162,287241736.41062385,219233392.70241427,226957702.81890476
2943234613.494869,3233941686.3503327,2650327758.111905,2755188206.270381
36574036.04943771,44039792.67024905,33419646.43011477,45541319.71834666
3081691982.118607,3465715093.5492377,3087903517.5457144,3209175568.3692856
1113902675.1248848,1266883359.639667,1150956165.3072858,1267060200.7880473
140349785.42771983,129023539.89971428,96985545.98858571,96252195.3524143
1190593419.4234426,1626181282.5955715,1594584605.775095,1799262529.4814286
59116739106.14795,131511280725.98056,119357559766.4531,136317566473.29027
464450095.4997279,1663955874.5677142,1746179295.1853335,2844456317.1283326
579138751.5823183,1266391095.8714762,1350829262.5171905,1484668418.180952
566144086.3643769,1328530907.3927615,1422202778.92319,1549745589.2133806
268019958.17367217,1030060771.9158572,1107647008.4090953,1699451295.2245715
955561721.3348359,1093110846.118,1104300185.5586193,1193511680.8971903
702826022.4066755,1637013315.9426193,1487286517.0318096,2387595206.124857
291554085.5484081,736266790.6326666,672079798.6363809,1077678161.2355714
2001153714.0872953,4160648190.8290477,4878261059.050953,5576210084.338096
267581809.95935747,561134518.1863334,520945186.9960477,612352936.7028571
165216097.33264557,249942922.54733813,321442770.46533334,389970029.1578571
79718064.92997131,163697496.17469522,231401214.19041908,260472063.3660572
11077739791.272259,20413438485.890472,18133315929.18524,21069802963.99
365058941.78470975,484662208.2082429,577759960.6452905,686598218.4604951
220709664.5180176,356988407.1550095,495017802.5744381,546538720.7603809
344673543.7532578,494528306.6139667,699803775.4949667,747131695.9056666
817237692.4221554,1861154448.553381,1547042491.8129528,1545752728.1758096
67559408.38410817,77245244.47492857,93552605.2346,105199490.63598096
543053966.3563186,713594801.0932381,1008613472.8723811,1060006306.0014284
85072085.47989182,100893736.68664286,97204826.77527145,113987162.67097144
921869577.1455623,1038095895.5370194,1483221221.5578759,1540342813.1140954
110314805.86666016,119570937.64563096,143552772.69474524,138820407.93041432
1006531002.921328,2170643180.2060947,1781999720.6901429,1744148134.4520473
193823622.81602788,314818231.14219046,231040769.87955707,236407950.16419524
741452950.4582081,1532430729.09519,1197932031.2980475,1098547218.6192381
550782852.3895775,675519605.8767617,533721207.5949762,519713365.23045236
5727957763.414557,4466771439.274427,4777034000.558237,5235062316.846667
416413525.63607377,290701715.64465714,358840558.8411524,384903932.736081
723008973.4737954,510463525.548738,630415356.7965474,691079494.3480952
899469240.7016213,632257321.1108048,797639927.5970906,895949895.363
9597918594.374266,7681727390.684284,9623709613.336668,10738772737.76857
55831416.02853278,51685417.684661895,50545526.6403762,43794131.84686668
71511675.54354425,63567810.6765619,61861540.83911905,55613220.27689047
9015250.132223113,7579480.667423332,7582085.693814286,7101740.814395238
58963589.65724099,49622027.67685714,49829704.65407143,47351725.38679048
20554066.19359262,19680718.509282384,19158130.096214283,16621512.596501425
427113.54196675407,516871.18508638104,523351.1058170476,339681.44983404764
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
453874.9509286531,326517.6928949953,286746.44978599524,374043.9841728429
134859.13245384535,97372.02892880811,84609.97208618332,114037.5480726804
337861.02897977177,247585.77807288614,205904.97703220052,315476.83294636576
17349.701675107342,12877.772562987238,10300.490466237572,17540.45203495576
0.0,0.0,0.0,0.0
461838.2821645857,299117.9559202655,254258.8923216229,450959.6867322524
26386.39825824884,16790.207454729192,15477.963284179194,27117.831450575228
36631.66644644323,23309.48214411067,21487.721921993998,37647.09933982667
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
3627.4862487882,3507.609944485761,3466.3645152833806,3255.9315053115242
0.0,0.0,0.0,0.0
399947.252325385,440606.2821328476,424453.54621286655,406099.3928813142
2120035.234252796,2346124.3675351096,2268187.135295966,2155364.0727623333
14298423.86369837,17072250.723883,17801174.02625443,15356473.612860477
17034757.727268856,17749519.085040476,19210075.49577571,16982251.56397619
3401599.217404296,3249341.8279704764,3413026.948906666,3632884.29319
6788932.81310246,6547860.32636238,7088293.9577519065,7601789.587809525
9393657.22632651,7687208.565645001,7761597.2572200475,9187837.994939573
275105.1576370739,223470.2745444995,225185.7142302852,267898.9053364381
72017822.1715,55687862.76086192,53417247.97111429,66488512.69002382
80210282.25532243,56619650.96008094,51491408.16669523,68009136.71259047
23803905.15985721,16265874.303743813,14316860.279396193,19498187.19463905
5964563.857953084,4188961.453113047,3681581.3710834286,4981519.029406762
37785159.83506671,28206552.76731191,23622532.61256953,32032770.72472857
382126415.9173839,476999239.3793333,426568027.91859525,698368919.7565478
159713743.76275504,242566555.93108577,387937183.4540334,584297543.0860523
59482802.9511864,112475172.45055236,150405169.60942382,147515705.04349998
14466991.789510684,43479042.740898095,63624873.23902572,66826300.31687381
23507201.70160591,68248470.36857812,100910797.63546193,108243275.4720762
27385453.3450713,75057637.28382383,113123594.96415716,125876963.8442524
82405537.16647774,198238589.6204,225903098.14072865,270480525.2890285
160870488.871082,360633055.149857,414894564.00729525,494915580.1637715
50469725.68185983,95275296.63221905,112684251.2897238,137283907.70165715
45871958.86230803,69890475.09183809,70313858.22697619,109413291.2246524
4371214.784131818,6332661.554481427,6051418.750146192,10137336.823282383
81320380.85560349,117971668.83789048,112719473.4867571,188818958.74566188
35381941.18173606,56258621.24335238,53360187.01172382,89119109.21115716
51031450.28687213,90144556.29153807,85317658.39409047,140755096.73952857
411883.92697335896,720046.9933009524,678203.7895175715,1129469.6896923808
73054191.53076883,136595395.53800473,131975894.69711904,205042710.0634905
1435322.4464631474,2325537.208172524,1699730.2727987622,3120732.4010168095
214834.224383992,253787.24714899051,131736.64937380145,327289.52328381577
21165.933436859952,25003.669669837138,12978.980233869142,32245.273229952953
47117015.71732623,39826602.00209999,31737884.205347624,54496879.32756189
4499542.827967311,4402138.157797905,3663267.403148096,4906931.516176666
12181.763064888195,11941.776571409524,9959.904659939526,13272.056655425715
562576.430903577,646921.4934629144,592686.5937737332,763844.8824843523
640573.0275494165,615259.2595816904,579420.4381693809,716974.5953288572
962830.5750780706,1037667.9767650951,972001.6249706192,1145878.7877903332
132255.91670343553,156360.6759272952,147360.76748110002,171550.38828129525
443341.98816505424,542891.274946381,521182.439861619,608635.9334020476
185790.99247941645,238399.4323511904,234216.73476695237,274564.1246438571
6963984.495561476,9063450.893194284,8906004.461625714,10380314.913406666
765371.9260471967,1207318.0381142378,1191908.2472041429,1289347.2053119044
178973.0394748607,236624.12042404767,241886.8299572857,273612.70536976197
9952179.373650488,13157991.26787,13450635.508700475,15214820.795025712
485783.96428870526,642265.469722762,656549.9670268572,742663.0574316665
1643245.3594167868,2201308.3550019045,2235903.352587619,2524600.11941762
13035304.39155558,19743418.145437617,19607933.019152384,21178506.382652383
13168271.093106888,21622665.80588143,19769888.391078573,20211197.509716194
50418846.29937378,78257652.26763332,67579599.72744286,73642680.47715715
83035543.75273058,114943555.76358144,82056840.53727189,110382193.5478048
84512704.12143339,132430854.74489523,106850871.58056188,181806715.03877142
35830192.94433229,98833236.3557862,96484554.10234807,177798934.25319052
12364564.656627053,32400556.69895809,31467284.63861572,56274897.27895095
148176295.25977474,339995137.01029044,308459739.37105715,496034285.85580945
248899155.61066064,565712078.7401428,504592582.4618572,790052344.0305716
56899778.44387575,137075884.05430004,125375281.7054,177388328.67972857
98405598.46005212,207063026.9674,191172753.16439047,227857704.8330381
387633469.4626426,812889785.5684763,754669348.6594763,887087554.3671902
294472430.52111965,598637303.4089999,548121477.1235714,645153350.5101905
408907149.8926968,776664175.4686668,624431491.7836084,709132743.2140371
95853265.03526706,140818148.9589095,106326404.4334186,115242073.03478524
80267793.75613952,118801125.28289528,89507194.31618331,96602858.0334119
199459861.0538832,296085920.84619045,219352927.71141425,217160076.01634288
146848263.51045573,202742414.70995712,150596703.27882382,142978506.17155713
87965807.8739623,118134062.5682905,88063507.9345733,84237767.92382094
78062064.35717754,103221525.1235619,77437768.36779715,74274438.46299714
412311255.917046,400550604.8276,391328524.551338,387967157.7340047
45153075.62425115,42906882.49623253,39702336.40986952,39403047.429031424
982834465.8411721,780195288.262,880508819.5925713,914723837.2486187
254483999.87989828,176399017.22287142,217679559.47491428,230220407.68043333
336958707.33485085,233397429.6447,288341161.6696143,305085740.16457146
547345489.564705,360666778.884762,480822368.1371905,523154358.31176174
844946740.9788033,543380931.8990476,755475300.2160476,834762326.359381
4566440.280353181,5980316.470037762,4957640.99103619,3406486.7068552864
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
40636.268654115534,43403.81996286953,45628.24188421715,30557.599635875235
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
13921446.861809505,15136302.972217616,15200574.904198572,14098912.725
6271773.356508313,6554020.559501427,6423342.065816191,6313638.602336192
676053.993877635,1047651.3621171331,912842.0618556004,1733234.691696505
5278421.567583127,8179739.481146951,7127189.944490272,13532563.169793606
133185150.67688525,252172003.9994048,253665666.4524,289815174.51890004
2083629.852190656,3591534.619527715,3447647.3528316193,3825698.4736194764
377049014.5133575,465881099.752238,332244855.49017614,299449698.6866334
158350397.867041,180175170.3843762,124791630.70741904,110659099.68844764
27705348.64641951,31523860.88172857,21833829.80702762,19361169.779585715
330389517.9888393,502578518.41976184,360194939.68271434,350752603.59547627
245603382.48546728,361041475.3599524,301056625.17042863,354345327.6369524
21349596.29461721,45099287.74479047,32911414.709838096,33865384.22853333
32966388.20867016,47576261.71819524,35660692.4471762,33225556.57946762
1860145.0227875088,2669771.8252744763,2002043.2337407144,1862027.94136019
108687060.75493936,155080058.84921902,116141928.093,108300181.82393809
217027431.43739507,281060326.7962143,208154657.00510943,193450368.3626381
1068588.863703151,1367719.0832260477,1022474.7420952858,907033.4204341904
1645502.2864555574,2149263.1410562373,1580972.9605294284,1518153.0470557618
23680831.84945261,28585180.87291572,20984474.278449044,19940290.49308143
112646049.47878852,139853675.9782762,97661091.05062382,92922563.64363334
1309543.9865146885,1711767.1097321904,1156977.6708891902,1112328.7429420478
187828102.78227213,216194320.63889518,199507854.98850477,211698429.71351904
114669104.98990986,135733442.28376192,129494743.95880476,134425520.06105715
101106869.80282287,103806547.70938094,88095930.1867905,96090179.5267
7106318.249501132,6532837.46327524,4910660.556383334,4873528.878602762
221379818.0848672,249561171.70204762,251295802.21433336,255972134.79230952
233825778.03367063,548702672.2432381,587390523.5657142,640067567.3911427
46276407.99605801,95026542.94935712,134328611.81545237,151204265.7644714
66279420.33340131,118074677.9623667,158909539.69012856,182725851.55433333
13411952.891129095,21902020.673531905,28458212.50740762,33238474.97609761
9505321.478616148,15702578.294530002,20503556.03009333,23894961.09812191
142602015.61478493,187456026.42601907,265051769.8156524,278514701.23341894
80269078.31726229,91260267.43098097,110589991.45511906,122070188.35246666
87446820.98286395,113770158.22743618,159262660.88206476,168057032.03004766
69434612.35382067,78008826.45240334,96577888.14447,97799928.67825235
92776988.9968377,107171394.37803812,122260843.21999525,138893320.43993336
22156370.818754107,25332878.44741571,30680940.85216143,34500582.23161285
