2010,2020,2030,2040
55968724.9,54026991.90588336,52146439.90057048,56540456.52638477
77852861.22,74712646.11032428,71883837.34729096,78255463.08363855
40660284.96,39255976.40462069,37892022.73655783,41083454.869610205
44733271.77,54464456.91063112,50295794.7113454,45549416.40486445
44919353.31,57389533.97863543,52321073.75184495,45190143.2936021
35360966.55,27323776.320100468,28767496.84874381,30570354.80950095
3629572.1989999996,1993983.0649725297,2172465.293493325,2767715.0673002293
47424.67548,47403.916931220025,47500.044748764274,47356.559925818416
204726.4939,204560.4255097556,205329.44805010807,204181.56946654432
265813.4166,265813.4166,265813.4166,265813.4166
2554548.966,676317.2066588323,793683.4618465466,850468.1853936894
1250882.472,242676.32325271214,305676.7381624645,336157.91129270266
26438.39926,26438.39926,26438.39926,26438.39926
52795.4994,51093.19804768009,48991.87166419914,42911.702843722946
437333.5578,162295.2892258016,180202.30298070636,180202.30298070636
29829.386619999997,29829.386619999997,29829.386619999997,29829.386619999997
332692.2548,332692.2548,332692.2548,332692.2548
253493.3429,12578.928987395106,28264.22887695225,28264.22887695225
306338.9808,17356.357815299398,36122.186805098056,35686.8891699152
15859.6401,15859.6401,15859.6401,15859.6401
40743.689080000004,40743.689080000004,40743.689080000004,40743.689080000004
329797.0087,50903.353243525795,68720.7331684039,73892.74811253484
334472.0998,119400.23736296853,133727.66945569648,159918.35958200172
197779.5091,192160.5116092072,192539.74867543444,193371.16311881726
139856.2429,139856.2429,139856.2429,139856.2429
372812.5899,320010.9193606925,615562.5989575449,501171.71227415296
218399.7186,188758.0896957488,355328.86648523936,291348.31219039974
50565716.25,4892836.226564279,8799648.12006928,19573715.739455327
0.0,0.0,0.0,0.0
597472.6991,597472.6991,597472.6991,597472.6991
4654.976946,4654.976946,4654.976946,4654.976946
37415.37731,37415.37731,37415.37731,37415.37731
3982926.2660000003,2309245.4287191187,1591077.3016089331,929205.9590765268
1652844.4619999998,695225.126573591,214639.54617035302,0.0
3214013.1410000003,1343637.3862063135,404980.88206226565,0.0
3383474.403,1166709.2934060849,603939.6820028946,0.0
36180303.27,25811055.668934956,25239064.847849235,17249938.413837336
7143323.369,4930085.6804533005,5882457.009224255,5018898.26324854
15978915.89,11907300.201983355,12246281.6788905,8803890.52164383
6196272.642000001,4173657.8237164645,5622814.719057418,5472565.210327895
18964471.05,12055805.5221431,17309020.2326331,20525606.371021673
30866912.38,18486535.928555027,25853451.46736121,31067857.277850736
154488607.7,692244770.2466158,461222744.8288633,434289957.0375776
84794797.59,108645141.89857854,115219771.3813262,173265876.75041187
31485148.79,18312106.036828853,22509361.133036464,29858657.11705171
54283985.8,30297532.602263194,37526721.053031296,48901119.34433415
74608129.95,42644427.10712363,52225499.36579458,69162891.79613316
135936541.1,89315417.454154,101928052.01198733,143630082.25795877
132380711.5,130132886.98259775,140902854.09691206,218213437.22572157
67418707.75,27697801.219249107,46701066.71653719,64804792.853989094
68774324.82,28585051.688134935,42660788.498677336,56662533.39106589
44754502.59,18601632.884553183,27738112.60484271,36823756.15668795
104315426.2,44868385.82511733,62431251.510650665,79834281.82600255
63006571.83,51536406.04023161,62050526.84985066,65754388.76580778
895247507.3,848959063.295445,860494934.100445,861834042.1939262
186931955.3,173463599.0683773,160560896.54867733,182767342.2400535
272861804.1,252549885.4594931,230448458.9688074,240797583.84565973
1310540681.0,1359564249.9918487,1389547879.5591345,1240731059.4236393
5332421961.0,5133897620.778562,5109945303.844277,4712649554.353514
53090729.75,21899396.560349017,33703484.24831759,45526745.314028546
333539.9671,354305.4383146862,342557.05341424805,356087.9814903481
47270845.92,19926076.48218183,25399812.22907184,30979075.12341088
1743044.06,2052454.9920752887,1827168.8999750502,2023806.58819167
1011642834.0,636352626.930901,727742004.6643773,794495603.55692
2276765.7180000003,3014914.2414697395,2496556.7419791194,3061928.5725000254
1789053.1830000002,2135420.0438086325,1917396.8779331087,2184801.033384299
148406084.6,131405540.423037,134285615.47390842,130019093.42198937
225658188.0,212239631.67936245,222856755.49955288,212818301.5880148
2217466603.0,2123631706.0484726,2260943847.954091,2154056276.927901
46840383.56,49706542.431190886,49191018.4581766,49369049.77841948
12867877.85,16901866.97601588,14719601.647904454,18084634.18550302
22464039.45,27857133.27663377,27148527.419198055,31297907.593995202
13328176.2,17332570.796022583,15414240.43397592,18774292.842918776
85525132.37,90758407.55295053,89817120.29858863,90142184.93456006
53012451.36,70542904.91610189,61825316.65644,72154358.90717807
17984684.83,22402475.590706743,21795288.04562722,25284355.161171027
220063950.1,234012542.8465434,231809404.37092924,233185149.9111292
222728589.9,237577192.5427786,235631591.15159288,237706746.67188814
129726839.0,139354167.36211544,138404188.06600583,140109280.58325827
33670614.08,35925590.11303538,35664023.76181728,36021204.82732444
2495797.236,2762236.0876535904,2688100.1471045893,3064523.1059064474
22236608.57,24986862.839439455,24007747.553050403,27415274.971740875
9334282.123,11043532.91787139,10614080.9669371,12639414.414948052
5750478.142999999,6937837.384021609,6667595.77143032,8004202.698789367
14727511.53,16913320.23633104,16648581.1042558,19528233.75045199
2251088225.0,2019039414.2752008,2034022760.1656766,2288595811.067582
9001923.365,10337337.093782142,10204964.802286904,11953054.015145473
377196688.6,323798390.103666,320740852.87295175,380408241.1728565
19208226.61,22026863.80707028,21747654.994555995,25462359.137698848
274230524.0,235367149.2477984,233154565.09599838,276566936.9237079
56592140.4,68948712.46896169,70232261.98880452,85552585.06917119
4104313925.0,3489590646.402591,3609084149.2549734,4105146234.688307
36190733.47,38016747.73751756,41390015.863550894,48597862.282460414
919691610.7,795610147.068221,921144479.3375069,971824524.7651736
2233347780.0,1833129250.4233906,2260763850.489819,2410828726.5152473
2474594725.0,2140466309.5782504,2373825147.463584,2509816657.363107
89472754.95,73009647.9397196,90755353.03261481,98087286.57414341
106288930.7,87421731.06067409,105936857.03895028,114728457.3468598
59560878.67,48314089.34788892,57883107.0228413,61035325.37206034
3686657534.0,2742629727.501576,3278754319.0254793,4314888162.567765
249309023.1,158463672.74071205,191188563.94885963,216951782.31775013
2841584474.0,2161703091.927708,2558926681.5391836,2768945833.9143276
35835674.06,41996448.00061443,45814791.56328584,62832282.03919918
2987347055.0,2420854516.0355544,2586485152.548983,2783430056.0446963
1069970062.0,835078583.7364271,894217513.8413795,967483062.0301888
135921306.6,99720903.04617934,121987733.8029508,137139939.0488222
1098589334.0,828917309.0635283,997418324.9212904,1072927467.518528
55397985.85,45682458.058628395,44719655.65541793,79004922.05129364
662086205.4,558243526.6835687,558235408.7108784,815959449.0573685
499680757.5,351772512.292894,439151779.2778939,474341200.0669891
483186786.7,337795687.2155306,423720404.13253075,458350195.9489116
402653991.4,337813667.9911262,337820416.6969024,446070764.38369286
968206467.8,978885946.6300759,881109243.1252664,869071728.6396475
683568133.3,518717743.7375383,490474391.3667288,696338120.0947765
286306904.9,217872828.7927983,207274450.16680312,289179381.42665064
1676381649.0,1178307038.2680643,1457261943.637683,1573381069.9286835
242634961.7,205338338.3427741,192076320.32914552,231687812.3641313
145308241.4,104113355.8094042,123301996.21862325,132017492.25706133
67384019.19,51149050.16502904,57454231.836719505,61102789.51980856
10135488814.0,8640703735.85992,11511242339.675632,15473207300.468485
341535156.0,277139293.64883107,289588468.37564063,298607724.16314065
193508227.8,163061117.8916974,173416572.80606884,182342429.94347358
298658349.5,270674216.3616264,281740469.9426168,294531204.7289502
739650029.0,601670190.2805371,638106904.7803944,903837508.0746801
65901975.9,57461067.720678136,57921212.65290196,60498094.01617339
473442499.4,441674248.8749262,454109932.1979263,473377959.72931206
84208400.71,99715817.65086617,80991827.42788042,71108142.8834914
750586648.8,710752216.1875157,726345492.9499443,712047503.7585874
102437267.3,95351508.39880644,97055818.03183499,95089927.52232312
918550392.8,771459150.89682,813156620.9513437,1117570087.2044864
186264192.8,160486269.25229368,152148180.80182704,184809091.35612223
669293725.7,598759857.061636,605213717.6150645,767250906.475112
529580769.9,500094550.8905509,453351796.5148177,505772901.36646515
5439423780.0,4900473953.087262,4716003269.4425,4570829281.623023
404345850.8,368556924.64617646,362016818.3495574,352298728.3872143
696068744.1,628967892.087012,615388941.9869167,597394230.1238595
860168070.1,776715498.1038829,760661961.3829783,737034948.8644927
9312545294.0,8940019280.346022,9046893532.857924,8601743192.926973
56792379.23,44924042.50257283,48011011.66761568,57606321.06802998
73383734.29,70658267.26746519,68104695.07601757,73974998.8371747
9323034.192,9001038.989771545,8688296.796829162,9420063.210375352
60377885.76,67631512.91175759,63384449.55734332,61469094.25952902
21323629.95,27292485.969631467,24871207.151484318,21496498.775550988
442356.6698,568574.2699573889,517241.1879159126,444526.8705032459
44111.58976,44111.58976,44111.58976,44111.58976
11842.60692,11842.60692,11842.60692,11842.60692
442450.8451,25457.341132155678,52606.68456701282,52606.68456701282
131563.5423,8647.675799790457,16602.155530819407,16174.112856221313
341868.9285,44046.82264122313,62820.65105901218,57350.41077682219
25127.10242,10288.79577038496,11200.907392054722,10722.079993352103
89500.48261,89500.48261,89500.48261,89500.48261
774216.2703,709067.8378151904,1055369.412386552,923302.9577628615
25375.57318,21916.40363022881,41561.43667430025,34169.197161063
35228.35983,30426.06950267888,57698.84431477363,47436.35795754745
5984.970359,5984.970359,5984.970359,5984.970359
173216.5928,173216.5928,173216.5928,173216.5928
73147.65441,71299.07540207398,70717.41362559897,69847.21826749993
6566.399815,6566.399815,6566.399815,6566.399815
380541.8591,159490.0363569619,48554.182618223786,0.0
2028144.177,856579.4691992633,271824.14362274343,0.0
15305038.1,6555590.168784369,3097180.3274346534,0.0
17986551.7,8922405.704109685,11999633.657277782,9081092.284935877
3387085.289,2285669.4867373467,3236857.8742387756,3146459.422360203
6747035.107999999,4628652.714014647,5796596.590003217,5152358.462222266
