2010,2020,2030,2040
55968724.9,58758457.02142662,47590593.4708933,54130199.88365518
77852861.22,72584221.27283908,61451846.71236289,66968799.39930099
40660284.96,42859975.67922435,34656566.470729105,39477738.776243396
44733271.77,43180523.913876124,35415575.7214523,41144072.45398563
44919353.31,35591434.07944467,30492295.431058966,33589423.231611334
35360966.55,23953005.130678453,21769850.59455464,22794762.724326074
3629572.1989999996,2596669.006209656,1958026.6394277983,2468368.189989799
47424.67548,47166.33566808475,47083.74259867438,47186.24220062784
204726.4939,202659.77540468032,201999.03084939375,202819.02766502477
265813.4166,265813.4166,265813.4166,265813.4166
2554548.966,2684055.4972452465,633596.1585816275,1159164.5519638802
1250882.472,1320399.6018510954,219744.31651976705,501861.41051417554
26438.39926,26438.39926,26438.39926,26438.39926
52795.4994,54595.62456267693,38419.569720910295,53839.726052372214
437333.5578,457168.77318683965,384670.88135876815,483060.63396342535
29829.386619999997,29829.386619999997,29829.386619999997,29829.386619999997
332692.2548,332692.2548,332692.2548,332692.2548
253493.3429,270867.61344989965,207364.49728285198,293547.08455140924
306338.9808,322170.29531217343,249632.59028066878,362003.0167022354
15859.6401,15859.6401,15859.6401,15859.6401
40743.689080000004,40743.689080000004,40743.689080000004,40743.689080000004
329797.0087,236273.6925676459,216759.69972328874,474585.22646242206
334472.0998,158807.90576453487,159864.50183835442,449322.68659797066
197779.5091,192695.72167015806,192722.3458604723,200591.89532187444
139856.2429,139856.2429,139856.2429,139856.2429
372812.5899,37591.23018669551,136388.5155492812,390133.85437440494
218399.7186,33195.014403959365,93399.8380809465,254311.72117481893
50565716.25,79873359.84184873,50206542.007272534,49598775.762986824
0.0,0.0,0.0,0.0
597472.6991,597472.6991,597472.6991,597472.6991
4654.976946,4654.976946,4654.976946,4654.976946
37415.37731,37415.37731,37415.37731,37415.37731
3982926.2660000003,2850093.642561431,4171040.172132112,4927838.074775206
1652844.4619999998,1125466.4547303198,1881649.9210166337,2349767.4397628726
3214013.1410000003,2183963.9325960926,3660904.8935773117,4575209.382915789
3383474.403,2140072.272117479,5170055.858225979,6139174.438738173
36180303.27,22759237.45895426,28809443.39097473,37288244.46488902
7143323.369,5351713.828233911,6690253.106221055,7893342.417539624
15978915.89,10238958.886789244,13156045.3525021,18093058.459263053
6196272.642000001,5234202.502499496,6385193.370928065,7416358.404767115
18964471.05,13306964.810574304,15589758.219384307,19824137.853810497
30866912.38,18167340.44601359,22053140.70287454,27059773.193758354
154488607.7,153429253.04319224,124720884.18666846,188710211.3076351
84794797.59,81655736.25736314,77157797.71508221,106467560.92951079
31485148.79,20497179.591266822,21398904.171874914,24019286.83545063
54283985.8,35189263.81341265,36856510.92152217,41366171.78196503
74608129.95,47614066.11645146,50695965.258375265,59531184.42492765
135936541.1,80522437.21111268,90440144.63540314,142396780.95700315
132380711.5,65300279.67511517,125762728.64901042,270469864.7499151
67418707.75,45929116.65593436,51291070.69271532,59076644.67904865
68774324.82,149035649.8070287,149828827.8915859,124367276.70202398
44754502.59,98704104.09758808,98330169.4374595,81124834.13399284
104315426.2,220195978.30605373,223682493.15989655,188460596.353568
63006571.83,64318776.42995578,52730791.68267009,58960978.76685102
895247507.3,937520429.0577828,1015993437.8270212,1320377340.7640686
186931955.3,205121525.00062537,188414772.39353964,170468423.93302062
272861804.1,321336309.6137961,305393656.43959135,295908858.82690084
1310540681.0,1221667218.833639,1336080746.1262102,1670822731.0793056
5332421961.0,6084862915.560434,5786695818.036627,6264994790.023769
53090729.75,46320710.59910923,71256317.08176637,73963846.88311398
333539.9671,342082.13353884127,349743.9260079175,367041.6862032365
47270845.92,91895752.61347716,96202197.4342676,84488046.6218533
1743044.06,1965443.7893781443,2056008.063407334,2372730.3166454295
1011642834.0,1709835798.5945468,1743814358.6144996,1378059493.5296893
2276765.7180000003,2845340.7946612947,3147333.6533331997,4175640.3348721527
1789053.1830000002,2166486.729678022,2206619.5726859747,2535193.306711022
148406084.6,269089705.2575691,367243126.17115474,334192361.4831594
225658188.0,323223970.51261926,523534321.4686146,532482300.9995861
2217466603.0,2561485800.779134,3832401087.925801,4319599579.313895
46840383.56,74510240.4015199,122227066.63658181,108842900.10961512
12867877.85,14351654.67952453,19259008.105964057,30828997.254014526
22464039.45,40980984.33083345,61793766.10231964,78083556.63164963
13328176.2,17111767.055361643,24213773.125916883,35908226.115798794
85525132.37,136047096.30494267,223172511.8048808,198734569.01217604
53012451.36,61789988.12709216,72776775.9137541,104050631.93788745
17984684.83,36909190.53230347,55123420.659696326,56466034.752175376
220063950.1,350528112.7942091,567637611.5129138,509924864.0802376
222728589.9,367989236.881035,585876715.0290302,529527807.34753966
129726839.0,244111247.10012335,387675800.27427095,349237326.34959954
33670614.08,61605567.777343705,95102547.5622485,84881141.50997227
2495797.236,3283185.5387657066,3386204.898062373,3713054.862399993
22236608.57,28460731.311950285,32045405.140359804,36391865.45594552
9334282.123,12378448.902397905,15009850.355801236,16373881.267293142
5750478.142999999,7713353.6351592885,9467236.182665003,10331360.586529763
14727511.53,17899408.108240493,20682993.553803347,22326404.77958572
2251088225.0,2464309998.6174846,2539790012.361151,2853200641.4330554
9001923.365,10929274.807378264,12218119.173435884,12920698.396743981
377196688.6,427659309.21930444,440642216.16225684,502535505.99349487
19208226.61,23257280.329279304,26107973.10470312,27706832.731807873
274230524.0,310971108.6718873,320464209.084492,365489003.4281635
56592140.4,80668389.23319417,85126882.93035606,87045710.29865605
4104313925.0,4846174478.924894,5162934520.015846,5380627973.51775
36190733.47,47489655.67755105,49660362.059570104,51444084.54122248
919691610.7,1240182889.2471309,1118385152.5996554,1174819406.171608
2233347780.0,3814580002.4408507,2645124268.716564,2028571883.801327
2474594725.0,3054581246.3214836,3208966156.3105307,3191833074.371484
