2010,2020,2030,2040
55968724.9,49977881.72657128,67109461.48643318,62250943.83136173
77852861.22,67896771.3054729,91867409.30397768,89228119.26964907
40660284.96,36332882.03841997,48834897.231681876,45208581.120609015
44733271.77,41016020.84811882,50705087.29548072,48454066.38361405
44919353.31,40064501.97531047,42546452.826543786,42777062.99373428
35360966.55,32191652.943475563,34931957.1542327,34055555.59192795
3629572.1989999996,2908912.996310393,3472372.8269808693,3556485.5273690126
47424.67548,47220.323244638676,47399.47973767598,47440.43865324443
204726.4939,203091.6760171082,204524.92796140612,204852.59928595426
265813.4166,265813.4166,265813.4166,265813.4166
2554548.966,2319711.538490998,2316611.2524259035,2495006.889435371
1250882.472,1124825.324262707,1123161.1380102786,1218921.1938442793
26438.39926,26438.39926,26438.39926,26438.39926
52795.4994,48749.55008518609,49328.294987619425,50843.34392061469
437333.5578,491925.342515296,467269.2187548331,468303.53688764747
29829.386619999997,29829.386619999997,29829.386619999997,29829.386619999997
332692.2548,332692.2548,332692.2548,332692.2548
253493.3429,301311.95333341986,279714.90199952933,280620.8928202102
306338.9808,365340.58809873584,336548.24892720283,337401.2940724055
15859.6401,15859.6401,15859.6401,15859.6401
40743.689080000004,40743.689080000004,40743.689080000004,40743.689080000004
329797.0087,421733.55614663125,358413.1106004154,338400.64697161433
334472.0998,437923.2214802974,385737.906035566,332795.6960848346
197779.5091,200635.88350904515,199330.71747858994,197725.35468895605
139856.2429,139856.2429,139856.2429,139856.2429
372812.5899,512615.6644010602,478922.34194972645,426402.20387311664
218399.7186,299583.6023432155,281960.95650780597,251323.9172581678
50565716.25,41448381.437924094,32752100.367509805,47999318.79315409
0.0,0.0,0.0,0.0
597472.6991,597472.6991,597472.6991,597472.6991
4654.976946,4654.976946,4654.976946,4654.976946
37415.37731,37415.37731,37415.37731,37415.37731
3982926.2660000003,5582437.634937445,4605826.055209968,4426900.365658635
1652844.4619999998,2569512.634714045,2096100.6421010941,1972819.6076621409
3214013.1410000003,5004405.06606409,4079759.6665288513,3838973.114595946
3383474.403,6279708.892773863,3840830.303548363,3305589.9912103023
36180303.27,49769246.80709847,36133799.6384923,36144985.2520399
7143323.369,9412142.467349432,7245349.69760181,7211337.601532761
15978915.89,21518627.853744134,15997739.283278901,16136444.942554617
6196272.642000001,7899457.955632211,6331705.884811261,6284165.080327926
18964471.05,23943584.003936037,19068706.338362224,17837585.849394605
30866912.38,40728671.82641886,32647559.577489346,28076095.74651601
154488607.7,279544313.3031095,159783277.6011761,195301062.98229995
84794797.59,107477123.55119726,81613366.54911628,100688376.7226163
31485148.79,41439663.85148054,33468329.2864934,29078801.362653885
54283985.8,71372870.98299587,58016588.248523004,50373057.63876349
74608129.95,103355790.87478821,89186388.53549679,79457075.62692344
135936541.1,220625447.80106562,211953715.9747809,202907396.71878088
132380711.5,228205631.1041846,138265688.73152414,125038949.062867
67418707.75,143891060.87305427,122096785.220581,115972118.79777622
68774324.82,67685078.6778714,74501326.6167,80983671.43813333
44754502.59,43957467.59542925,48955603.296860665,53254065.92442736
104315426.2,125842201.9278679,133252047.1748822,140528358.18751556
63006571.83,115264401.37077418,117791168.22866467,104082723.67835987
895247507.3,841418801.0742235,1161209230.3311756,1449091703.621557
186931955.3,210601503.14075106,371597306.33621776,547857320.8710747
272861804.1,234327713.50228614,346055415.48709565,525733943.9327575
1310540681.0,874301387.0814902,912527719.2656804,1132494009.6170614
5332421961.0,3863343574.303062,3852395420.694775,4710701416.023347
53090729.75,62267683.25167497,44222784.04156926,44550495.602641165
333539.9671,478830.92275099293,440334.8262905169,471179.2027461359
